#SEMANAS			E	I	F			
"14/12/25 a 20/12/25"	17	4	31
"21/12/25 a 27/12/25"	16	0	32
"28/12/25 a 03/01/26"	20	0	12
"04/01/26 a 10/01/26"	24	1	9
"11/01/26 a 17/01/26"	17	0	17

